,X_key,Course.ID,EntityType,Name,Length..Hours.,Avg..User.Rating,Total.Enrollments,Total.Ratings,Organiser,Difficulty,Public.URL,uni
2444,w3ovq1_qEee5pxIr-Fg01A,w3ovq1_qEee5pxIr-Fg01A,COURSE,Линейная алгебра и аналитическая геометрия,14,4.714285714,3041,35,Peter the Great St. Petersburg Polytechnic University,Beginner,https://www.coursera.org/learn/lineynaya-algebra,TRUE
2445,nq2CsKfpEeiTpRKLqRoJAA,nq2CsKfpEeiTpRKLqRoJAA,COURSE,Business intelligence and data warehousing,15,4.352941176,2030,17,Universidad Nacional Autónoma de México,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,TRUE
2446,fUpdLCAMEeWibgoGfGzczQ,fUpdLCAMEeWibgoGfGzczQ,COURSE,结构生物化学（Structural Biochemistry),40,4.877777778,7344,90,Nanjing University,Mixed,https://www.coursera.org/learn/shengwu-huaxue,TRUE
2447,d0Vop3l1EeW3pg6oA-kqJQ,d0Vop3l1EeW3pg6oA-kqJQ,COURSE,Genome Assembly Programming Challenge,8,4.37012987,7411,154,University of California San Diego,Advanced,https://www.coursera.org/learn/assembling-genomes,TRUE
2448,ZHs1C2KBEemS7w6DsfgYjg,ZHs1C2KBEemS7w6DsfgYjg,COURSE,Российское предпринимательское право,27,5,614,1,National Research University Higher School of Economics,Intermediate,https://www.coursera.org/learn/rus-business-law,TRUE
2449,Yo-AmZ7hEeWVBgpelZA5Jw,Yo-AmZ7hEeWVBgpelZA5Jw,COURSE,Éléments de Géomatique,37,4.690140845,8787,71,École Polytechnique Fédérale de Lausanne,Intermediate,https://www.coursera.org/learn/geomatique,TRUE
2450,Vdxg0pvmEemPqQqpR6cYbg,Vdxg0pvmEemPqQqpR6cYbg,COURSE,Introduction to Android graphics,10,3.6,749,5,Imperial College London,Intermediate,https://www.coursera.org/learn/intro-android-graphics,TRUE
2452,SM9_hONpEem99QoX33w62A,SM9_hONpEem99QoX33w62A,COURSE,Enterprise Architecture,12,4,196,3,Peter the Great St. Petersburg Polytechnic University,Beginner,https://www.coursera.org/learn/enterprise-architecture,TRUE
2453,QO7QgCzfEeWv_w7cMMH1Uw,QO7QgCzfEeWv_w7cMMH1Uw,COURSE,Internet of Things: Sensing and Actuation From Devices,14,4.344444444,15042,90,University of California San Diego,Mixed,https://www.coursera.org/learn/internet-of-things-sensing-actuation,TRUE
2454,JJ1g_B6sEeWFIxLDnS6_kQ,JJ1g_B6sEeWFIxLDnS6_kQ,COURSE,The Meat We Eat,16,4.70212766,8016,47,University of Florida,Mixed,https://www.coursera.org/learn/meat-we-eat,TRUE
2455,I5Npr9OzEei3fwpipbICKA,I5Npr9OzEei3fwpipbICKA,COURSE,Blockchain Business Models,12,4.6,342,5,Duke University,Intermediate,https://www.coursera.org/learn/blockchain-business-models,TRUE
2456,Fe1obXjqEeeO7g69QmeD8A,Fe1obXjqEeeO7g69QmeD8A,COURSE,Введение в науку о данных (An Introduction to Data Science),17,3.764705882,4024,34,Saint Petersburg State University,Mixed,https://www.coursera.org/learn/vvedeniye-v-nauku-o-dannykh,TRUE
2457,D-kRGMhiEeSHHCIAC12q0A,D-kRGMhiEeSHHCIAC12q0A,COURSE,心理学与生活,21,4.727626459,41663,514,Nanjing University,Mixed,https://www.coursera.org/learn/xin-li-xue-sheng-huo,TRUE
2458,6MvmTJFlEeauIxKYfUIOvQ,6MvmTJFlEeauIxKYfUIOvQ,COURSE,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,10,4.888888889,5376,63,University of Colorado Boulder,Beginner,https://www.coursera.org/learn/compassionate-leadership-jane-goodall,TRUE
2459,6L1w1GzSEea3CxIzByGEtw,6L1w1GzSEea3CxIzByGEtw,COURSE,ГМО: технологии создания и применение,16,4.94893617,6698,235,Novosibirsk State University ,Mixed,https://www.coursera.org/learn/gmo,TRUE
2460,zcWCXlqYEeWp_Q4LJzeiiQ,zcWCXlqYEeWp_Q4LJzeiiQ,COURSE,Introduction to Cataract Surgery,14,4.794642857,4796,112,University of Michigan,Advanced,https://www.coursera.org/learn/cataract-surgery,TRUE
2461,svCB0bflEeiV3hLuYXLyZg,svCB0bflEeiV3hLuYXLyZg,COURSE,是誰在說話 -- 可愛的臺灣。（Intermediate Chinese）,8,4.7,1950,20,National Taiwan University,Intermediate,https://www.coursera.org/learn/learn-intermediate-chinese-mandarin,TRUE
2462,mtT9uoZDEee5sQp-c2T9xg,mtT9uoZDEee5sQp-c2T9xg,COURSE,Industrial Organization: Strategy and Competition in Business,29,4.863636364,3592,22,National Research University Higher School of Economics,Mixed,https://www.coursera.org/learn/industrial-organization,TRUE
2463,hSFk2864EeS_ZiIACzuJog,hSFk2864EeS_ZiIACzuJog,COURSE,Understanding Europe: Why It Matters and What It Can Offer You,26,4.512820513,18535,156,HEC Paris,Mixed,https://www.coursera.org/learn/europe,TRUE
